0000001222,564126,8.3,"Inglourious Basterds (2009)"
0000001222,662075,8.3,"Batman Begins (2005)"
0000001222,53679,8.3,"Yôjinbô (1961)"
0000001222,40824,8.3,"The Kid (1921)"
0000001123,296653,8.3,"2001: A Space Odyssey (1968)"
0000001222,206698,8.3,"Unforgiven (1992)"
0000001222,81308,8.3,"Metropolis (1927)"
0000001222,173570,8.3,"Raging Bull (1980)"
0000001222,160580,8.3,"Chinatown (1974)"
0000001322,412544,8.3,"Toy Story (1995)"
0000001222,380696,8.3,"Scarface (1983)"
0000001222,427949,8.3,"Up (2009)"
0000001321,433493,8.3,"Die Hard (1988)"
0000001222,184917,8.3,"Der Untergang (2004)"
0000001222,58346,8.3,"Mr. Smith Goes to Washington (1939)"
0000001222,120632,8.2,"The Great Escape (1963)"
0000001222,341022,8.2,"El laberinto del fauno (2006)"
0000001222,74304,8.2,"On the Waterfront (1954)"
0000000124,48771,8.2,"Taare Zameen Par (2007)"
0000001222,110362,8.2,"The Bridge on the River Kwai (1957)"
0000001222,325444,8.2,"Heat (1995)"
0000001331,82629,8.2,"Jagten (2012)"
0000001222,81035,8.2,"Det sjunde inseglet (1957)"
0000000124,104873,8.2,"3 Idiots (2009)"
0000001222,45674,8.2,"Smultronstället (1957)"
0000001222,120598,8.2,"The Elephant Man (1980)"
0000000123,29629,8.2,"Ikiru (1952)"
0000001222,37671,8.2,"The General (1926)"
0000001222,58907,8.2,"Ran (1985)"
0000001222,169601,8.2,"12 Years a Slave (2013)"
0000001222,351374,8.2,"Blade Runner (1982)"
0000001222,45536,8.2,"The Gold Rush (1925)"
0000001222,102093,8.2,"Tonari no Totoro (1988)"
0000001321,305641,8.2,"Lock, Stock and Two Smoking Barrels (1998)"
0000001321,407263,8.2,"Gran Torino (2008)"
0000001321,416307,8.2,"Good Will Hunting (1997)"
0000001222,65901,8.2,"Rebecca (1940)"
0000001222,381920,8.2,"The Big Lebowski (1998)"
0000001222,82619,8.2,"El secreto de sus ojos (2009)"
0000001222,46679,8.2,"It Happened One Night (1934)"
0000001322,146265,8.2,"Rush (2013/I)"
0000000124,37134,8.2,"Rang De Basanti (2006)"
0000001222,221787,8.2,"Warrior (2011)"
0000001321,237632,8.2,"Casino (1995)"
0000001222,103709,8.2,"Her (2013)"
0000001222,90956,8.2,"Cool Hand Luke (1967)"
0000001222,559148,8.2,"V for Vendetta (2005)"
0000001222,175247,8.2,"The Deer Hunter (1978)"
0000001222,86247,8.2,"The Maltese Falcon (1941)"
0000001221,311702,8.2,"Fargo (1996)"
0000001213,160992,8.2,"Gone with the Wind (1939)"
0000001221,345282,8.2,"Trainspotting (1996)"
0000001222,294056,8.2,"Into the Wild (2007)"
0000001222,136934,8.2,"Hauru no ugoku shiro (2004)"
0000001232,28059,8.1,"The Grand Budapest Hotel (2014)"
0000001222,287260,8.1,"How to Train Your Dragon (2010)"
0000001321,196390,8.1,"Hotel Rwanda (2004)"
0000001222,28945,8.1,"Judgment at Nuremberg (1961)"
0000001321,518185,8.1,"The Sixth Sense (1999)"
0000001321,111509,8.1,"Butch Cassidy and the Sundance Kid (1969)"
0000001222,189386,8.1,"The Thing (1982)"
